,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
645,Dinesh Karthik,40,28,142.85,7,0,DC,Arun Jaitley Stadium,27 April 2012
646,Jacques Kallis,69,49,140.81,7,1,CSK,Chidambaram,27 May 2012
647,Rahul Dravid,57,43,132.55,7,0,DC,Sawai Mansingh Stadium,01 May 2012
648,Michael Clarke,41,31,132.25,7,0,DEC,Barabati Stadium,01 May 2012
649,Jacques Kallis,79,60,131.66,7,3,MI,Eden Gardens,12 May 2012
650,Ajinkya Rahane,42,32,131.25,7,0,DC,Sawai Mansingh Stadium,01 May 2012
651,Jesse Ryder,73,56,130.35,7,1,CSK,Maharashtra Cricket Association's International Stadium,14 April 2012
652,Ajinkya Rahane,61,47,129.78,7,0,PWI,Sawai Mansingh Stadium,13 May 2012
653,Brendon McCullum,56,44,127.27,7,0,DC,Arun Jaitley Stadium,07 May 2012
654,Manoj Tiwary,59,49,120.4,7,0,RR,Sawai Mansingh Stadium,08 April 2012
655,Shaun Marsh,64,54,118.51,7,1,PWI,IS Bindra Stadium,12 April 2012
656,Herschelle Gibbs,66,58,113.79,7,2,KKR,Eden Gardens,12 May 2012
657,MS Dhoni,51,20,255.0,6,2,MI,M. Chinnaswamy Stadium,23 May 2012
658,Brad Hodge,48,21,228.57,6,2,DEC,Sawai Mansingh Stadium,17 April 2012
659,Mayank Agarwal,64,30,213.33,6,4,MI,M. Chinnaswamy Stadium,14 May 2012
660,Kieron Pollard,64,33,193.93,6,4,RR,Wankhede Stadium,11 April 2012
661,Kevin Pietersen,50,26,192.3,6,3,MI,Arun Jaitley Stadium,27 April 2012
662,Shane Watson,58,31,187.09,6,4,PWI,Sawai Mansingh Stadium,13 May 2012
663,Cameron White,78,46,169.56,6,5,PWI,Maharashtra Cricket Association's International Stadium,26 April 2012
664,Chris Gayle,71,42,169.04,6,4,PBKS,M. Chinnaswamy Stadium,02 May 2012
