,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1950,Shivam Mavi,4.0,13,1,0,15,24.0,PBKS,Narendra Modi Stadium,26 April 2021
1951,Jaydev Unadkat,4.0,15,3,0,15,8.0,DC,Wankhede Stadium,15 April 2021
1952,Harpreet Brar,4.0,19,3,1,15,8.0,RCB,Narendra Modi Stadium,30 April 2021
1953,Anrich Nortje,4.0,19,1,1,15,24.0,MI,Sharjah Cricket Stadium,02 October 2021
1954,Pat Cummins,4.0,24,3,0,15,8.0,DC,Narendra Modi Stadium,29 April 2021
1955,Lungi Ngidi,4.0,28,3,0,15,8.0,KKR,Wankhede Stadium,21 April 2021
1956,Anrich Nortje,4.0,12,2,0,14,12.0,SRH,Dubai International Stadium,22 September 2021
1957,Imran Tahir,4.0,16,2,0,14,12.0,RCB,Wankhede Stadium,25 April 2021
1958,Ravindra Jadeja,4.0,19,0,0,14,0.0,PBKS,Wankhede Stadium,16 April 2021
1959,Ravichandran Ashwin,4.0,20,1,0,14,24.0,RR,Zayed Cricket Stadium,25 September 2021
1960,Bhuvneshwar Kumar,4.0,20,0,0,14,0.0,KKR,Dubai International Stadium,03 October 2021
1961,Adam Milne,4.0,21,2,0,14,12.0,CSK,Dubai International Stadium,19 September 2021
1962,Mohammad Shami,4.0,22,1,0,14,24.0,CSK,Dubai International Stadium,07 October 2021
1963,Riley Meredith,3.4,21,0,0,14,0.0,CSK,Wankhede Stadium,16 April 2021
1964,Sam Curran,4.0,24,2,0,14,12.0,RR,Wankhede Stadium,19 April 2021
1965,Prasidh Krishna,4.0,24,1,0,14,24.0,RCB,Zayed Cricket Stadium,20 September 2021
1966,Mohammed Siraj,4.0,25,2,1,14,12.0,SRH,Chidambaram,14 April 2021
1967,Harpreet Brar,4.0,26,0,0,14,0.0,RCB,Sharjah Cricket Stadium,03 October 2021
1968,Deepak Chahar,4.0,29,4,0,14,6.0,KKR,Wankhede Stadium,21 April 2021
1969,Jimmy Neesham,4.0,12,3,0,13,8.0,RR,Sharjah Cricket Stadium,05 October 2021
1970,Moises Henriques,4.0,12,3,0,13,8.0,RCB,Sharjah Cricket Stadium,03 October 2021
1971,Krunal Pandya,4.0,13,1,0,13,24.0,KKR,Chidambaram,13 April 2021
1972,Rahul Chahar,4.0,19,3,0,13,8.0,SRH,Chidambaram,17 April 2021
1973,Deepak Chahar,4.0,19,2,0,13,12.0,MI,Dubai International Stadium,19 September 2021
1974,Nathan Ellis,4.0,20,1,0,13,24.0,MI,Zayed Cricket Stadium,28 September 2021
1975,Mohammad Shami,4.0,21,3,0,13,8.0,RR,Dubai International Stadium,21 September 2021
1976,Chris Woakes,4.0,22,2,0,13,12.0,RR,Wankhede Stadium,15 April 2021
1977,Mustafizur Rahman,4.0,22,1,0,13,24.0,KKR,Wankhede Stadium,24 April 2021
1978,Fabian Allen,4.0,22,1,1,13,24.0,SRH,Chidambaram,21 April 2021
1979,Kagiso Rabada,4.0,23,2,0,13,12.0,KKR,Sharjah Cricket Stadium,13 October 2021
1980,Rashid Khan,4.0,23,1,0,13,24.0,KKR,Dubai International Stadium,03 October 2021
1981,Trent Boult,4.0,23,0,0,13,0.0,DC,Chidambaram,20 April 2021
1982,Josh Hazlewood,4.0,24,3,0,13,8.0,SRH,Sharjah Cricket Stadium,30 September 2021
1983,Varun Chakaravarthy,4.0,26,2,0,13,12.0,SRH,Dubai International Stadium,03 October 2021
