,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1511,Rishabh Pant,128,63,203.17,15,7,SRH,Arun Jaitley Stadium,10 May 2018
1512,Shane Watson,78,40,195.0,4,7,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
1513,Rishabh Pant,85,48,177.08,6,7,RCB,M. Chinnaswamy Stadium,21 April 2018
1514,Ambati Rayudu,100,62,161.29,7,7,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
1515,Andre Russell,41,12,341.66,0,6,DC,Eden Gardens,16 April 2018
1516,Ishan Kishan,62,21,295.23,5,6,KKR,Eden Gardens,09 May 2018
1517,AB de Villiers,72,37,194.59,4,6,DC,Arun Jaitley Stadium,12 May 2018
1518,Moeen Ali,65,34,191.17,2,6,SRH,M. Chinnaswamy Stadium,17 May 2018
1519,Shane Watson,106,57,185.96,9,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
1520,Jason Roy,91,53,171.69,6,6,MI,Wankhede Stadium,14 April 2018
1521,Chris Gayle,62,38,163.15,5,6,KKR,Eden Gardens,21 April 2018
1522,Sunil Narine,50,19,263.15,4,5,RCB,Eden Gardens,08 April 2018
1523,Sam Billings,56,23,243.47,2,5,KKR,Chidambaram,10 April 2018
1524,Rishabh Pant,69,29,237.93,7,5,RR,Arun Jaitley Stadium,02 May 2018
1525,MS Dhoni,51,22,231.81,2,5,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
1526,AB de Villiers,90,39,230.76,10,5,DC,M. Chinnaswamy Stadium,21 April 2018
1527,Karun Nair,54,26,207.69,3,5,CSK,Maharashtra Cricket Association's International Stadium,20 May 2018
1528,Andre Russell,49,25,196.0,3,5,RR,Eden Gardens,23 May 2018
1529,Kane Williamson,81,42,192.85,7,5,RCB,M. Chinnaswamy Stadium,17 May 2018
1530,AB de Villiers,44,23,191.3,1,5,KKR,Eden Gardens,08 April 2018
1531,Rohit Sharma,94,52,180.76,10,5,RCB,Wankhede Stadium,17 April 2018
1532,MS Dhoni,79,44,179.54,6,5,PBKS,IS Bindra Stadium,15 April 2018
1533,Jos Buttler,94,53,177.35,9,5,MI,Wankhede Stadium,13 May 2018
1534,Vijay Shankar,54,31,174.19,1,5,CSK,Maharashtra Cricket Association's International Stadium,30 April 2018
1535,Kane Williamson,84,51,164.7,6,5,CSK,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
1536,Evin Lewis,65,42,154.76,6,5,RCB,Wankhede Stadium,17 April 2018
1537,Rashid Khan,34,10,340.0,2,4,KKR,Eden Gardens,25 May 2018
1538,KL Rahul,51,16,318.75,6,4,DC,IS Bindra Stadium,08 April 2018
1539,Abhishek Sharma,46,19,242.1,3,4,RCB,Arun Jaitley Stadium,12 May 2018
1540,Colin de Grandhomme,40,17,235.29,1,4,SRH,M. Chinnaswamy Stadium,17 May 2018
1541,Harshal Patel,36,16,225.0,1,4,CSK,Arun Jaitley Stadium,18 May 2018
1542,Glenn Maxwell,47,22,213.63,3,4,KKR,Eden Gardens,16 April 2018
1543,Ambati Rayudu,79,37,213.51,9,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
1544,Sunil Narine,75,36,208.33,9,4,PBKS,Holkar Cricket Stadium,12 May 2018
1545,Chris Gayle,63,33,190.9,7,4,CSK,IS Bindra Stadium,15 April 2018
1546,Prithvi Shaw,47,25,188.0,4,4,RR,Arun Jaitley Stadium,02 May 2018
1547,Shikhar Dhawan,92,50,184.0,9,4,DC,Arun Jaitley Stadium,10 May 2018
1548,Chris Lynn,74,41,180.48,6,4,PBKS,Eden Gardens,21 April 2018
1549,Rishabh Pant,61,34,179.41,5,4,RCB,Arun Jaitley Stadium,12 May 2018
1550,D'Arcy Short,44,25,176.0,2,4,DC,Arun Jaitley Stadium,02 May 2018
1551,Rishabh Pant,79,45,175.55,7,4,CSK,Maharashtra Cricket Association's International Stadium,30 April 2018
1552,Ambati Rayudu,50,29,172.41,4,4,DC,Arun Jaitley Stadium,18 May 2018
1553,MS Dhoni,43,25,172.0,1,4,KKR,Eden Gardens,03 May 2018
1554,Evin Lewis,48,28,171.42,4,4,DC,Wankhede Stadium,14 April 2018
1555,Nitish Rana,59,35,168.57,5,4,DC,Eden Gardens,16 April 2018
1556,Yusuf Pathan,45,27,166.66,1,4,CSK,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
1557,Suresh Raina,75,47,159.57,6,4,MI,Maharashtra Cricket Association's International Stadium,28 April 2018
1558,Faf du Plessis,67,42,159.52,5,4,SRH,Wankhede Stadium,22 May 2018
1559,KL Rahul,47,30,156.66,2,4,RCB,M. Chinnaswamy Stadium,13 April 2018
1560,Evin Lewis,48,31,154.83,3,4,DC,Arun Jaitley Stadium,20 May 2018
1561,Virat Kohli,92,62,148.38,7,4,MI,Wankhede Stadium,17 April 2018
1562,Carlos Brathwaite,43,29,148.27,1,4,CSK,Wankhede Stadium,22 May 2018
