,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date,Unnamed: 0
1029,Mitchell Johnson,4.0,26,2,12.0,SRH,Sharjah Cricket Stadium,22 April 2014,
1030,Yuzvendra Chahal,4.0,17,2,12.0,MI,Dubai International Stadium,19 April 2014,
1031,Mohit Sharma,4.0,27,2,12.0,SRH,Sharjah Cricket Stadium,27 April 2014,
1032,Lasith Malinga,4.0,29,2,12.0,RCB,Wankhede Stadium,06 May 2014,
1033,Mitchell Starc,4.0,26,2,12.0,DC,M. Chinnaswamy Stadium,13 May 2014,
1034,Ravichandran Ashwin,4.0,41,2,12.0,PBKS,Zayed Cricket Stadium,18 April 2014,
1035,Kane Richardson,4.0,18,2,12.0,RCB,Zayed Cricket Stadium,26 April 2014,
1036,James Faulkner,4.0,26,2,12.0,DC,Arun Jaitley Stadium,03 May 2014,
1037,Morne Morkel,4.0,20,2,12.0,PBKS,Barabati Stadium,11 May 2014,
1038,Shreyas Gopal,4.0,32,2,12.0,PBKS,IS Bindra Stadium,21 May 2014,
1039,Vinay Kumar,4.0,26,2,12.0,RCB,Sharjah Cricket Stadium,24 April 2014,
1040,Yuzvendra Chahal,4.0,23,2,12.0,PBKS,M. Chinnaswamy Stadium,09 May 2014,
1041,Shreyas Gopal,4.0,25,2,12.0,RR,Narendra Modi Stadium,19 May 2014,
1042,Ashish Nehra,4.0,34,2,12.0,MI,Brabourne Stadium,28 May 2014,
1043,Mitchell Johnson,4.0,19,2,12.0,RCB,Dubai International Stadium,28 April 2014,
1044,Mitchell Johnson,4.0,37,2,12.0,CSK,Barabati Stadium,07 May 2014,
1045,Shahbaz Nadeem,4.0,35,2,12.0,RR,Narendra Modi Stadium,15 May 2014,
1046,Karanveer Singh,4.0,22,2,12.0,DC,IS Bindra Stadium,25 May 2014,
1047,Dale Steyn,4.0,29,2,12.0,RR,Zayed Cricket Stadium,18 April 2014,
1048,Sunil Narine,4.0,28,2,12.0,RR,Narendra Modi Stadium,05 May 2014,
1049,Moises Henriques,1.0,3,2,3.0,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015,
1050,JP Duminy,3.0,17,4,4.5,SRH,ACA-VDCA Stadium,18 April 2015,
1051,Sandeep Sharma,4.0,25,4,6.0,KKR,Maharashtra Cricket Association's International Stadium,18 April 2015,
1052,Lasith Malinga,4.0,23,4,6.0,SRH,Wankhede Stadium,25 April 2015,
1053,Chris Morris,4.0,23,4,6.0,KKR,Brabourne Stadium,16 May 2015,
1054,Ravindra Jadeja,4.0,11,4,6.0,RR,Chidambaram,10 May 2015,
1055,Ashish Nehra,4.0,10,4,6.0,RCB,M. Chinnaswamy Stadium,22 April 2015,
1056,Nathan Coulter-Nile,4.0,20,4,6.0,PBKS,Arun Jaitley Stadium,01 May 2015,
1057,Sunil Narine,4.0,19,4,6.0,PBKS,Eden Gardens,09 May 2015,
1058,David Wiese,4.0,33,4,6.0,MI,M. Chinnaswamy Stadium,19 April 2015,
1059,Mitchell Starc,4.0,15,4,6.0,PBKS,M. Chinnaswamy Stadium,06 May 2015,
1060,Imran Tahir,4.0,28,4,6.0,RR,Arun Jaitley Stadium,12 April 2015,
1061,Brad Hogg,4.0,29,4,6.0,CSK,Eden Gardens,30 April 2015,
1062,Piyush Chawla,4.0,32,4,6.0,DC,Eden Gardens,07 May 2015,
1063,Sreenath Aravind,4.0,27,4,6.0,PBKS,M. Chinnaswamy Stadium,06 May 2015,
1064,Dwayne Bravo,3.0,22,3,6.0,KKR,Chidambaram,28 April 2015,
1065,Bipul Sharma,2.0,13,2,6.0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015,
1066,Yuzvendra Chahal,2.0,25,2,6.0,PBKS,IS Bindra Stadium,13 May 2015,
1067,Stuart Binny,2.0,27,2,6.0,DC,Brabourne Stadium,03 May 2015,
1068,David Wiese,2.0,20,2,6.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015,
1069,Angelo Mathews,2.0,15,2,6.0,MI,Arun Jaitley Stadium,23 April 2015,
1070,Ravichandran Ashwin,2.0,5,2,6.0,KKR,Chidambaram,28 April 2015,
1071,Harshal Patel,2.0,12,2,6.0,PBKS,IS Bindra Stadium,13 May 2015,
1072,JP Duminy,2.0,16,2,6.0,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015,
1073,Anureet Singh,2.0,21,2,6.0,RCB,IS Bindra Stadium,13 May 2015,
1074,Axar Patel,2.0,11,2,6.0,RCB,IS Bindra Stadium,13 May 2015,
1075,James Faulkner,4.0,26,3,8.0,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015,
1076,Ashish Nehra,4.0,28,3,8.0,RCB,JSCA Stadium,22 May 2015,
1077,Imran Tahir,4.0,22,3,8.0,MI,Arun Jaitley Stadium,23 April 2015,
1078,Dwayne Bravo,4.0,25,3,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015,
1079,Lasith Malinga,4.0,23,3,8.0,CSK,Wankhede Stadium,19 May 2015,
1080,Bhuvneshwar Kumar,4.0,44,3,8.0,RR,Brabourne Stadium,07 May 2015,
1081,Imran Tahir,4.0,43,3,8.0,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015,
1082,Mitchell Starc,4.0,22,3,8.0,RR,Narendra Modi Stadium,24 April 2015,
1083,Mitchell McClenaghan,4.0,16,3,8.0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015,
1084,Harbhajan Singh,4.0,27,3,8.0,RCB,M. Chinnaswamy Stadium,19 April 2015,
1085,Mitchell McClenaghan,4.0,20,3,8.0,SRH,Wankhede Stadium,25 April 2015,
1086,Ashish Nehra,4.0,19,3,8.0,RCB,Chidambaram,04 May 2015,
1087,Trent Boult,4.0,36,3,8.0,RCB,M. Chinnaswamy Stadium,13 April 2015,
1088,Nathan Coulter-Nile,4.0,30,3,8.0,CSK,Chidambaram,09 April 2015,
1089,Mitchell Starc,4.0,20,3,8.0,DC,Arun Jaitley Stadium,26 April 2015,
1090,Bhuvneshwar Kumar,4.0,26,3,8.0,MI,Wankhede Stadium,25 April 2015,
