,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
895,Dwayne Smith,13,4,325.0,1,1,KKR,Eden Gardens,24 April 2013
896,Shane Watson,13,5,260.0,1,1,CSK,Chidambaram,22 April 2013
897,Shane Watson,13,3,433.33,0,2,MI,Wankhede Stadium,15 May 2013
898,Stuart Binny,13,5,260.0,1,1,PWI,Sawai Mansingh Stadium,05 May 2013
899,Adam Gilchrist,13,3,433.33,0,2,RCB,M. Chinnaswamy Stadium,14 May 2013
900,Suresh Raina,32,7,457.14,5,2,PBKS,Wankhede Stadium,30 May 2014
901,Yusuf Pathan,26,6,433.33,3,2,SRH,Eden Gardens,24 May 2014
902,David Miller,26,5,520.0,0,4,RR,Sharjah Cricket Stadium,20 April 2014
903,Kieron Pollard,26,6,433.33,1,3,SRH,Dubai International Stadium,30 April 2014
904,MS Dhoni,24,6,400.0,2,2,SRH,JSCA Stadium,22 May 2014
905,Rohit Sharma,24,6,400.0,1,3,RCB,Wankhede Stadium,06 May 2014
906,Yuvraj Singh,24,6,400.0,0,4,DC,M. Chinnaswamy Stadium,13 May 2014
907,Shakib Al Hasan,24,6,400.0,1,3,RCB,Eden Gardens,22 May 2014
908,Shikhar Dhawan,23,7,328.57,4,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
909,Naman Ojha,23,5,460.0,2,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
910,AB de Villiers,22,5,440.0,1,3,SRH,M. Chinnaswamy Stadium,04 May 2014
911,Brad Hodge,22,6,366.66,2,2,PBKS,IS Bindra Stadium,23 May 2014
912,George Bailey,21,5,420.0,2,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
913,Steve Smith,21,6,350.0,2,2,RCB,M. Chinnaswamy Stadium,11 May 2014
914,Yusuf Pathan,21,5,420.0,2,2,SRH,Eden Gardens,24 May 2014
915,Glenn Maxwell,21,6,350.0,2,2,CSK,Barabati Stadium,07 May 2014
916,Dwayne Smith,20,5,400.0,0,3,SRH,JSCA Stadium,22 May 2014
917,Chris Gayle,20,6,333.33,2,2,PBKS,Dubai International Stadium,28 April 2014
918,JP Duminy,20,6,333.33,1,2,KKR,Dubai International Stadium,19 April 2014
919,Chris Gayle,20,4,500.0,2,2,MI,Wankhede Stadium,06 May 2014
920,David Warner,20,7,285.71,5,0,CSK,JSCA Stadium,22 May 2014
921,Yuvraj Singh,19,5,380.0,0,3,DC,M. Chinnaswamy Stadium,13 May 2014
922,James Faulkner,19,5,380.0,1,2,RCB,M. Chinnaswamy Stadium,11 May 2014
923,Jacques Kallis,19,5,380.0,1,2,MI,Zayed Cricket Stadium,16 April 2014
924,Glenn Maxwell,19,5,380.0,3,1,CSK,Zayed Cricket Stadium,18 April 2014
925,Glenn Maxwell,19,5,380.0,0,3,CSK,Barabati Stadium,07 May 2014
926,Yusuf Pathan,19,6,316.66,0,3,CSK,JSCA Stadium,02 May 2014
927,Virat Kohli,19,6,316.66,1,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
928,David Miller,19,5,380.0,1,2,RCB,M. Chinnaswamy Stadium,09 May 2014
929,Kieron Pollard,19,6,316.66,2,1,PBKS,Wankhede Stadium,03 May 2014
930,Glenn Maxwell,19,4,475.0,0,3,SRH,Sharjah Cricket Stadium,22 April 2014
931,Corey Anderson,19,5,380.0,3,1,PBKS,Wankhede Stadium,03 May 2014
932,Yuvraj Singh,18,6,300.0,1,2,KKR,Eden Gardens,22 May 2014
933,Robin Uthappa,18,5,360.0,3,1,PBKS,Barabati Stadium,11 May 2014
934,Kevin Pietersen,18,6,300.0,2,1,PBKS,Arun Jaitley Stadium,19 May 2014
935,Shane Watson,18,4,450.0,1,2,CSK,JSCA Stadium,13 May 2014
936,AB de Villiers,18,5,360.0,1,2,SRH,M. Chinnaswamy Stadium,04 May 2014
937,Suresh Raina,18,6,300.0,3,1,PBKS,Wankhede Stadium,30 May 2014
938,Dwayne Smith,18,6,300.0,0,3,DC,Arun Jaitley Stadium,05 May 2014
939,Aaron Finch,18,4,450.0,3,1,DC,Dubai International Stadium,25 April 2014
940,Karun Nair,18,5,360.0,3,1,MI,Wankhede Stadium,25 May 2014
941,Glenn Maxwell,18,5,360.0,0,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
942,Shane Watson,18,5,360.0,1,2,KKR,Narendra Modi Stadium,05 May 2014
943,James Faulkner,18,5,360.0,2,1,RCB,M. Chinnaswamy Stadium,11 May 2014
944,James Faulkner,18,5,360.0,1,2,PBKS,IS Bindra Stadium,23 May 2014
945,George Bailey,18,4,450.0,1,2,CSK,Barabati Stadium,07 May 2014
946,David Warner,17,4,425.0,1,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
947,MS Dhoni,17,5,340.0,1,2,RCB,M. Chinnaswamy Stadium,24 May 2014
948,Manish Pandey,17,5,340.0,1,2,PBKS,M. Chinnaswamy Stadium,01 June 2014
949,Glenn Maxwell,17,5,340.0,1,2,RCB,M. Chinnaswamy Stadium,09 May 2014
950,Faf du Plessis,17,5,340.0,2,1,MI,Brabourne Stadium,28 May 2014
951,Manish Pandey,17,5,340.0,1,2,PBKS,M. Chinnaswamy Stadium,01 June 2014
952,Darren Sammy,17,4,425.0,1,2,KKR,Eden Gardens,24 May 2014
953,Virender Sehwag,17,5,340.0,1,2,CSK,Wankhede Stadium,30 May 2014
954,Corey Anderson,17,5,340.0,0,2,CSK,Wankhede Stadium,10 May 2014
955,Yusuf Pathan,17,5,340.0,0,2,PBKS,M. Chinnaswamy Stadium,01 June 2014
956,Kieron Pollard,17,5,340.0,1,2,SRH,Dubai International Stadium,30 April 2014
957,Corey Anderson,17,5,340.0,2,1,RR,Wankhede Stadium,25 May 2014
958,Kedar Jadhav,17,4,425.0,1,2,CSK,Arun Jaitley Stadium,05 May 2014
959,Suresh Raina,17,4,425.0,1,2,KKR,Eden Gardens,20 May 2014
960,Aaron Finch,17,5,340.0,2,1,DC,Dubai International Stadium,25 April 2014
961,Lendl Simmons,16,6,266.66,1,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
962,Wriddhiman Saha,16,6,266.66,1,2,KKR,M. Chinnaswamy Stadium,01 June 2014
963,JP Duminy,16,4,400.0,4,0,CSK,Arun Jaitley Stadium,05 May 2014
964,Ankit Sharma,16,5,320.0,2,1,CSK,JSCA Stadium,13 May 2014
965,Rohit Sharma,16,5,320.0,1,2,RR,Narendra Modi Stadium,19 May 2014
966,Glenn Maxwell,16,6,266.66,4,0,RR,Sharjah Cricket Stadium,20 April 2014
967,Yuvraj Singh,16,4,400.0,1,2,RR,M. Chinnaswamy Stadium,11 May 2014
