Season,Name,Nationality,Type,Team,Price
2022,Odean Smith ,Overseas ,All-Rounder , Punjab Kings,"6,00,00,000 "
2022,Sandeep Sharma ,Indian ,Bowler , Punjab Kings,"50,00,000 "
2022,Raj Angad Bawa ,Indian ,All-Rounder , Punjab Kings,"2,00,00,000 "
2022,Rishi Dhawan ,Indian ,All-Rounder , Punjab Kings,"55,00,000 "
2022,Nathan Ellis ,Overseas ,Bowler , Punjab Kings,"75,00,000 "
2022,Prerak Mankad ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2022,Atharva Taide ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2022,Vaibhav Arora ,Indian ,Bowler , Punjab Kings,"2,00,00,000 "
2022,Bhanuka Rajapaksa ,Overseas ,Batsman , Punjab Kings,"50,00,000 "
2022,Benny Howell ,Overseas ,All-Rounder , Punjab Kings,"40,00,000 "
2022,Writtick Chatterjee ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2022,Baltej Dhanda ,Indian ,Bowler , Punjab Kings,"20,00,000 "
2022,Ansh Patel ,Indian ,All-Rounder , Punjab Kings,"20,00,000 "
2022,R. Ashwin ,Indian ,All-Rounder , Rajasthan Royals,"5,00,00,000 "
2022,Trent Boult ,Overseas ,Bowler , Rajasthan Royals,"8,00,00,000 "
2022,Shimron Hetmyer ,Overseas ,Batsman , Rajasthan Royals,"8,50,00,000 "
2022,Devdutt Padikkal ,Indian ,Batsman , Rajasthan Royals,"7,75,00,000 "
2022,Prasidh Krishna ,Indian ,Bowler , Rajasthan Royals,"10,00,00,000 "
2022,Yuzvendra Chahal ,Indian ,Bowler , Rajasthan Royals,"6,50,00,000 "
2022,Riyan Parag ,Indian ,All-Rounder , Rajasthan Royals,"3,80,00,000 "
2022,K.C. Cariappa ,Indian ,Bowler , Rajasthan Royals,"30,00,000 "
2022,James Neesham ,Overseas ,All-Rounder , Rajasthan Royals,"1,50,00,000 "
2022,Nathan Coulter-Nile ,Overseas ,Bowler , Rajasthan Royals,"2,00,00,000 "
2022,Navdeep Saini ,Indian ,Bowler , Rajasthan Royals,"2,60,00,000 "
2022,Kuldeep  Sen ,Indian ,Bowler , Rajasthan Royals,"20,00,000 "
2022,Karun Nair ,Indian ,Batsman , Rajasthan Royals,"1,40,00,000 "
2022,Rassie Van Der Dussen ,Overseas ,Batsman , Rajasthan Royals,"1,00,00,000 "
2022,Daryl Mitchell ,Overseas ,All-Rounder , Rajasthan Royals,"75,00,000 "
2022,Obed Mccoy ,Overseas ,Bowler , Rajasthan Royals,"75,00,000 "
2022,Dhruv Jurel ,Indian ,Wicket Keeper , Rajasthan Royals,"20,00,000 "
2022,Tejas Baroka ,Indian ,Bowler , Rajasthan Royals,"20,00,000 "
2022,Kuldip Yadav ,Indian ,Bowler , Rajasthan Royals,"20,00,000 "
2022,Shubham Garhwal ,Indian ,All-Rounder , Rajasthan Royals,"20,00,000 "
2022,Anunay Singh ,Indian ,All-Rounder , Rajasthan Royals,"20,00,000 "
2022,Faf Du Plessis ,Overseas ,Batsman , Royal Challengers Bangalore,"7,00,00,000 "
2022,Wanindu Hasaranga ,Overseas ,All-Rounder , Royal Challengers Bangalore,"10,75,00,000 "
2022,Harshal Patel ,Indian ,All-Rounder , Royal Challengers Bangalore,"10,75,00,000 "
2022,Dinesh Karthik ,Indian ,Wicket Keeper , Royal Challengers Bangalore,"5,50,00,000 "
2022,Josh Hazlewood  ,Overseas ,Bowler , Royal Challengers Bangalore,"7,75,00,000 "
2022,Shahbaz Ahamad ,Indian ,All-Rounder , Royal Challengers Bangalore,"2,40,00,000 "
2022,Anuj Rawat ,Indian ,Wicket Keeper , Royal Challengers Bangalore,"3,40,00,000 "
2022,Akash  Deep  ,Indian ,Bowler , Royal Challengers Bangalore,"20,00,000 "
2022,Karn Sharma ,Indian ,Bowler , Royal Challengers Bangalore,"50,00,000 "
2022,Mahipal Lomror ,Indian ,All-Rounder , Royal Challengers Bangalore,"95,00,000 "
2022,Finn Allen ,Overseas ,Batsman , Royal Challengers Bangalore,"80,00,000 "
2022,Sherfane Rutherford ,Overseas ,All-Rounder , Royal Challengers Bangalore,"1,00,00,000 "
2022,Jason Behrendorff ,Overseas ,Bowler , Royal Challengers Bangalore,"75,00,000 "
2022,Siddharth  Kaul ,Indian ,Bowler , Royal Challengers Bangalore,"75,00,000 "
2022,Suyash Prabhudessai ,Indian ,All-Rounder , Royal Challengers Bangalore,"30,00,000 "
2022,Luvnith Sisodia ,Indian ,Wicket Keeper , Royal Challengers Bangalore,"20,00,000 "
2022,Chama Milind ,Indian ,Bowler , Royal Challengers Bangalore,"25,00,000 "
2022,Aneeshwar Gautam ,Indian ,All-Rounder , Royal Challengers Bangalore,"20,00,000 "
2022,David Willey  ,Overseas ,All-Rounder , Royal Challengers Bangalore,"2,00,00,000 "
2022,Washington Sundar ,Indian ,All-Rounder , Sunrisers Hyderabad,"8,75,00,000 "
2022,Nicholas Pooran ,Overseas ,Wicket Keeper , Sunrisers Hyderabad,"10,75,00,000 "
2022,Bhuvneshwar Kumar ,Indian ,Bowler , Sunrisers Hyderabad,"4,20,00,000 "
2022,T. Natarajan ,Indian ,Bowler , Sunrisers Hyderabad,"4,00,00,000 "
2022,Priyam  Garg ,Indian ,Batsman , Sunrisers Hyderabad,"20,00,000 "
